ticker,annee,trimestre,norme_comptable,total_actif,capitaux_propres_pg,dettes_financieres_lt,dettes_financieres_ct,tresorerie_nette,creances_clients,chiffre_d_affaires_pnb,resultat_brut_exploitation,resultat_net_pg,cout_du_risque,dotations_amortissements,flux_tresorerie_operationnel,capex,nombre_actions_circulation,dividende_par_action,prix_cloture
MSA,2022,T4,IFRS,7580,2350,2250,380,1850,545,3949,1880,817,0,480,1650,390,73395600,7.20,215.00
MSA,2022,T2,IFRS,7350,2280,2380,365,1650,525,1980,890,395,0,240,850,165,73395600,N/A,235.00
MSA,2021,T4,IFRS,7120,2180,2480,350,1420,510,3592,1620,666,0,460,1480,550,73395600,8.00,250.00
MSA,2021,T2,IFRS,6950,2050,2320,340,1250,495,1750,780,315,0,225,720,210,73395600,N/A,195.00
MSA,2020,T4,IFRS,6850,1950,2150,320,950,480,3004,1350,292,0,440,1100,620,73395600,8.00,205.00
MSA,2019,T4,IFRS,6980,2050,1850,280,1150,520,2900,1320,605,0,425,1250,450,73395600,9.70,200.00
MSA,2018,T4,IFRS,6720,1920,1620,250,1080,495,2750,1280,550,0,410,1210,420,73395600,9.30,185.00
MSA,2017,T4,IFRS,6550,1880,1580,230,1050,490,2560,1210,512,0,405,1180,415,73395600,8.00,165.00
MSA,2016,T4,IFRS,6500,1850,1550,220,1020,485,2550,1180,510,0,405,1150,410,73395600,8.00,180.00
ADI,2025,T2,IFRS,12150,4450,1820,410,-1120,2150,2504,615,348,0,48,435,40,22088028,N/A,620.00
ADI,2025,T1,IFRS,N/A,N/A,1840,415,-1140,2120,2443,N/A,325,0,N/A,N/A,N/A,22088028,N/A,585.00
ADI,2024,T4,IFRS,11850,4210,1850,420,-1150,2100,2382,580,302,0,45,410,35,22088028,4.00,505.00
ADI,2024,T3,IFRS,N/A,N/A,1880,450,-1180,2050,2315,N/A,300,0,N/A,N/A,N/A,22088028,N/A,445.00
ADI,2024,T2,IFRS,11540,4050,1900,460,-1200,1980,2248,520,298,0,43,395,30,22088028,N/A,385.00
ADI,2024,T1,IFRS,N/A,N/A,1915,475,-1215,1960,2146,N/A,268,0,N/A,N/A,N/A,22088028,N/A,315.00
ADI,2023,T4,IFRS,11240,3880,1920,480,-1220,1950,2044,495,239,0,42,380,28,22088028,0.00,248.00
ADI,2023,T2,IFRS,11120,3750,2050,495,-1350,1880,1807,450,209,0,41,350,25,22088028,N/A,185.00
ADI,2022,T4,IFRS,11050,3640,2150,510,-1450,1820,1628,410,178,0,40,320,22,22088028,0.00,52.40
ADI,2021,T4,IFRS,11480,3450,2480,550,-1820,1740,1428,340,119,0,38,290,18,22088028,0.00,36.50
ADI,2020,T4,IFRS,12100,3320,2950,720,-2250,1680,1271,110,-437,0,35,-150,15,22088028,0.00,32.10
ADI,2019,T4,IFRS,13250,3780,3420,850,-2680,1850,2063,380,74,0,32,240,25,22088028,0.00,48.00
ADI,2018,T4,IFRS,14100,3650,4100,980,-3150,2150,3283,640,302,0,30,510,40,22088028,0.00,82.00
ADI,2017,T4,IFRS,14800,3550,4850,1150,-3550,2350,3018,580,175,0,29,480,35,22088028,0.00,145.00
ADI,2016,T4,IFRS,15200,3420,5500,1250,-3800,2520,3559,310,144,0,28,315,25,22088028,0.00,68.00
ADI,2015,T4,IFRS,14500,3200,5200,1200,-3850,2450,957,55,-1824,0,28,-850,12,22088028,0.00,42.00
ADI,2014,T4,IFRS,15500,4100,4200,950,-2150,2320,2941,850,-969,0,25,450,85,22088028,0.00,65.00
