"Date","Price","Open","High","Low","Vol.","Change %"
"03/01/2003","3,079.07","3,209.58","3,234.18","3,027.39","","-4.36%"
"02/01/2003","3,219.51","3,068.81","3,237.22","3,062.04","","4.87%"
"01/01/2003","3,070.01","2,971.92","3,074.33","2,945.17","","-3.45%"
"12/01/2002","3,179.81","3,136.40","3,291.63","3,115.09","","0.98%"
"11/01/2002","3,149.08","3,078.69","3,182.03","3,076.80","","2.10%"
"10/01/2002","3,084.26","3,120.80","3,140.91","3,068.90","","-1.71%"
"09/01/2002","3,138.01","3,263.79","3,277.52","3,086.06","","-3.83%"
"08/01/2002","3,263.08","3,202.85","3,302.69","3,185.04","","2.31%"
"07/01/2002","3,189.52","3,298.47","3,298.64","2,960.51","","-4.65%"
"06/01/2002","3,344.99","3,404.81","3,410.82","3,277.72","","-2.26%"
"05/01/2002","3,422.32","3,523.33","3,523.33","3,391.68","","-2.60%"
"04/01/2002","3,513.68","3,634.15","3,654.60","3,508.07","","-3.33%"
"03/01/2002","3,634.88","3,635.54","3,682.00","3,623.23","","-0.02%"
"02/01/2002","3,635.57","3,673.53","3,690.99","3,595.72","","-1.08%"
