symbol,trade_date,price,open,high,low,volume,change_pct,source_name,scraped_at
SODEP,2026-03-09,740.0,,760.0,740.0,23181.0,-2.63,medias24,2026-03-10 22:16:29.761220
SODEP,2026-03-06,760.0,,788.0,756.0,92912.0,0.68,medias24,2026-03-10 22:16:29.761506
SODEP,2026-03-05,754.9,,759.0,740.0,134894.0,4.85,medias24,2026-03-10 22:16:29.761811
SODEP,2026-03-04,720.0,,759.0,720.0,95167.0,2.55,medias24,2026-03-10 22:16:29.762014
SODEP,2026-03-03,702.1,,780.0,702.1,121601.0,-9.99,medias24,2026-03-10 22:16:29.762229
SODEP,2026-03-02,780.0,,798.0,770.0,51638.0,-6.02,medias24,2026-03-10 22:16:29.762442
SODEP,2026-02-27,830.0,,884.0,830.0,69499.0,-5.47,medias24,2026-03-10 22:16:29.762584
SODEP,2026-02-26,878.0,,890.0,878.0,24162.0,-0.79,medias24,2026-03-10 22:16:29.762687
SODEP,2026-02-25,885.0,,905.0,885.0,9313.0,-0.45,medias24,2026-03-10 22:16:29.762790
SODEP,2026-02-24,889.0,,900.1,889.0,20368.0,-1.22,medias24,2026-03-10 22:16:29.762894
SODEP,2026-02-23,900.0,,907.0,900.0,9063.0,-0.55,medias24,2026-03-10 22:16:29.763015
SODEP,2026-02-20,905.0,,907.7,898.0,48381.0,-0.26,medias24,2026-03-10 22:16:29.763171
SODEP,2026-02-19,907.4,,912.0,905.0,7208.0,0.04,medias24,2026-03-10 22:16:29.763291
SODEP,2026-02-18,907.0,,915.0,902.0,14250.0,-0.66,medias24,2026-03-10 22:16:29.763390
SODEP,2026-02-17,913.0,,915.0,911.0,10033.0,-1.3,medias24,2026-03-10 22:16:29.763538
SODEP,2026-02-16,925.0,,925.0,902.0,27504.0,2.78,medias24,2026-03-10 22:16:29.763694
SODEP,2026-02-13,900.0,,915.0,900.0,49283.0,-0.99,medias24,2026-03-10 22:16:29.763808
SODEP,2026-02-12,909.0,,909.0,897.0,27641.0,1.34,medias24,2026-03-10 22:16:29.763906
TAQA,2026-03-09,1790.0,,1810.0,1750.0,686.0,-0.56,medias24,2026-03-10 22:16:37.073395
TAQA,2026-03-06,1800.0,,1920.0,1799.0,24596.0,0.0,medias24,2026-03-10 22:16:37.073978
TAQA,2026-03-05,1800.0,,1819.0,1720.0,4516.0,5.2,medias24,2026-03-10 22:16:37.074513
TAQA,2026-03-04,1711.0,,1783.0,1630.0,2638.0,4.9,medias24,2026-03-10 22:16:37.075087
TAQA,2026-03-03,1631.0,,1769.0,1600.0,4953.0,-6.53,medias24,2026-03-10 22:16:37.075955
TAQA,2026-03-02,1745.0,,1860.0,1706.0,2754.0,-7.92,medias24,2026-03-10 22:16:37.076636
TAQA,2026-02-27,1895.0,,1899.0,1800.0,9387.0,-0.26,medias24,2026-03-10 22:16:37.077177
TAQA,2026-02-26,1900.0,,1919.0,1900.0,372.0,-0.99,medias24,2026-03-10 22:16:37.077691
TAQA,2026-02-25,1919.0,,1920.0,1910.0,44.0,0.0,medias24,2026-03-10 22:16:37.078190
TAQA,2026-02-24,1919.0,,1939.0,1901.0,154.0,-0.57,medias24,2026-03-10 22:16:37.078689
TAQA,2026-02-23,1930.0,,1948.0,1900.0,350.0,2.12,medias24,2026-03-10 22:16:37.079188
TAQA,2026-02-20,1890.0,,1990.0,1890.0,1569.0,-4.55,medias24,2026-03-10 22:16:37.079694
TAQA,2026-02-19,1980.0,,1999.0,1973.0,113.0,0.0,medias24,2026-03-10 22:16:37.080177
TAQA,2026-02-18,1980.0,,2000.0,1960.0,155.0,0.0,medias24,2026-03-10 22:16:37.080657
TAQA,2026-02-17,1980.0,,2020.0,1980.0,1796.0,-1.1,medias24,2026-03-10 22:16:37.081139
TAQA,2026-02-16,2002.0,,2024.0,1955.0,1012.0,2.67,medias24,2026-03-10 22:16:37.081656
TAQA,2026-02-13,1950.0,,2020.0,1950.0,2249.0,-1.52,medias24,2026-03-10 22:16:37.082157
TAQA,2026-02-12,1980.0,,2045.0,1980.0,8209.0,0.46,medias24,2026-03-10 22:16:37.082641
TGCC,2026-03-09,695.0,,700.0,690.0,33992.0,-3.47,medias24,2026-03-10 22:16:45.281093
TGCC,2026-03-06,720.0,,764.0,720.0,120277.0,-3.36,medias24,2026-03-10 22:16:45.281390
TGCC,2026-03-05,745.0,,745.0,715.0,32398.0,8.76,medias24,2026-03-10 22:16:45.281663
TGCC,2026-03-04,685.0,,728.0,681.0,131202.0,1.33,medias24,2026-03-10 22:16:45.281930
TGCC,2026-03-03,676.0,,725.0,675.1,99013.0,-7.14,medias24,2026-03-10 22:16:45.282193
TGCC,2026-03-02,728.0,,765.0,728.0,274081.0,-9.0,medias24,2026-03-10 22:16:45.282456
TGCC,2026-02-27,800.0,,814.9,800.0,41203.0,-1.23,medias24,2026-03-10 22:16:45.282714
TGCC,2026-02-26,810.0,,820.0,810.0,7278.0,-1.22,medias24,2026-03-10 22:16:45.282968
TGCC,2026-02-25,820.0,,830.0,820.0,4826.0,-0.67,medias24,2026-03-10 22:16:45.283248
TGCC,2026-02-24,825.5,,834.0,825.5,17195.0,-0.53,medias24,2026-03-10 22:16:45.283511
TGCC,2026-02-23,829.9,,835.0,826.0,17122.0,-1.08,medias24,2026-03-10 22:16:45.283763
TGCC,2026-02-20,839.0,,839.0,830.0,21263.0,-0.56,medias24,2026-03-10 22:16:45.284013
TGCC,2026-02-19,843.7,,844.0,830.2,3420.0,0.44,medias24,2026-03-10 22:16:45.284262
TGCC,2026-02-18,840.0,,845.0,837.0,15938.0,-1.06,medias24,2026-03-10 22:16:45.284514
TGCC,2026-02-17,849.0,,850.0,836.0,16386.0,-0.59,medias24,2026-03-10 22:16:45.284766
TGCC,2026-02-16,854.0,,859.0,846.0,20830.0,1.07,medias24,2026-03-10 22:16:45.285017
TGCC,2026-02-13,845.0,,865.0,838.0,28889.0,-0.12,medias24,2026-03-10 22:16:45.285265
TGCC,2026-02-12,846.0,,846.0,825.0,15438.0,3.05,medias24,2026-03-10 22:16:45.285518
